y_true,y_pred
58400.0,72569.04
177400.0,183954.28
294800.0,295997.94
49000.0,57364.434
108500.0,104754.7
232500.0,261248.3
361300.0,356665.8
158000.0,163841.9
240600.0,313403.7
226200.0,214302.27
456300.0,404597.4
233900.0,238449.72
407000.0,433404.16
57500.0,80451.06
62000.0,73593.29
123200.0,117452.93
67700.0,69788.266
439100.0,373478.3
226500.0,229754.6
269400.0,280905.56
122200.0,125935.15
47700.0,81924.63
67500.0,134934.28
173500.0,209236.55
138800.0,151349.39
326700.0,222757.97
114600.0,124176.63
223200.0,240134.8
167500.0,121963.45
231800.0,165475.17
277400.0,158399.86
106400.0,108337.375
214800.0,194012.69
67500.0,88772.01
119400.0,113634.89
173900.0,124259.2
65800.0,64230.78
201900.0,192450.9
144000.0,211262.28
73800.0,89147.086
197600.0,169591.03
205000.0,205324.98
345300.0,205671.08
140800.0,150541.81
287900.0,293066.34
218300.0,272755.2
173300.0,195576.12
261400.0,354455.62
175300.0,171709.64
281500.0,254951.02
88200.0,102260.43
146000.0,128662.96
81400.0,88206.086
109700.0,108004.99
383900.0,340988.47
64900.0,60444.227
57400.0,64748.57
189600.0,156513.83
146600.0,204526.25
121400.0,135548.6
343000.0,347417.22
176100.0,154333.05
227500.0,224112.98
151300.0,160024.36
381500.0,238519.77
140800.0,105208.14
159600.0,115347.04
96100.0,105200.11
152800.0,137658.25
156500.0,152301.4
162900.0,193387.2
143000.0,121219.92
254300.0,305045.53
282900.0,335217.88
72600.0,84755.84
175000.0,330965.38
381900.0,314058.03
340900.0,326377.56
195400.0,183602.52
116700.0,199551.31
252300.0,324302.16
76300.0,94815.945
276000.0,169180.72
89400.0,90473.875
228900.0,208814.53
299300.0,308585.7
162500.0,166420.14
215300.0,218563.62
227600.0,133443.28
156300.0,112710.47
85700.0,104920.37
261800.0,273819.3
268500.0,272716.44
164200.0,136485.67
100000.0,94880.26
322200.0,289143.06
240000.0,189189.16
170700.0,140590.78
53900.0,59016.316
