y_true,y_pred
271400,338355.323279748
214300,174942.973623309
153900,182939.780624893
319100,254105.144122097
169400,176897.914805596
311800,257652.091794623
207700,251613.07622364
178000,203542.227109867
71900,95924.4757300817
51500,40440.4138495992
251800,258842.416343703
381800,218769.527957178
125000,109858.457888781
168100,248209.988882
69900,90405.633262975
258300,279482.356046462
190600,229851.75582588
444000,359735.090730389
108300,156249.121085253
206500,186779.078484024
87500,105058.706540849
164100,172234.511169091
219700,295077.789449733
154400,235887.080319975
61200,88262.8205736118
165500,187659.886633212
139800,224188.508137714
69800,155637.462010469
175300,193577.077985884
182500,423045.638633662
150700,159439.349447296
199100,169218.705351314
279000,301595.207880648
441400,364212.141570373
86400,137449.311786153
302500,271210.235591966
265900,246009.98077006
231800,212629.291813196
65400,93136.7250619204
224100,220614.774470158
113800,212150.78386553
160900,205067.640627634
260900,213295.381136783
284200,233741.000120582
91800,120903.425609523
156300,159393.024887442
106300,172487.925063222
180400,186876.347294609
221900,287273.976282232
184900,209214.568392162
110600,104474.71964622
80800,104386.176155202
133400,169180.17826542
47600,41296.7903161463
230400,196497.688511057
120100,223365.505013301
194100,229870.969421317
95700,113674.702751546
87900,126481.277269911
435100,279176.87791507
112500,222617.457422932
137500,156048.497166651
155100,190313.660457529
207000,226729.096672795
141100,109336.073098784
110800,130333.081466745
319500,343718.143357833
243500,265591.941145156
258300,251097.235566544
165100,186860.608945847
55100,73642.09508756
266700,271351.7492715
223500,253256.779647458
131300,230182.289562624
170600,172857.782887213
126800,138265.529679978
328000,341039.062005336
135300,159126.925391331
217700,284130.767042761
232000,220587.581590176
158000,235966.380289117
185500,204927.006922293
73600,120613.603408195
131000,196497.356840256
263800,235500.268287746
48300,46395.9286996844
178100,211729.510706563
161800,203925.52620673
176600,152772.498071921
200500,161591.638663452
313100,289097.817200957
152300,181674.713546599
244500,238833.650716306
326800,264175.868914752
41300,136247.255434546
168800,94916.2250358015
233900,233338.308641227
332800,258760.983493884
132600,170551.357336932
193000,260372.695022967
298400,228356.584713086
161700,201944.199577687
92600,111498.682705838
